txt_id,Accuracy,Class
1,0.75,Co-author
2,0.7,Co-author
3,0.52,Co-author
4,0.81,Co-author
5,0.52,Co-author
6,0.57,Co-author
7,0.61,Co-author
8,0.23,Co-author
9,0.82,Co-author
10,0.6,Co-author
11,0.71,Co-author
12,0.9,Co-author
13,0.39,Co-author
14,0.51,Co-author
1,0.7908,Paper-Title
2,0.5458,Paper-Title
3,0.864,Paper-Title
4,0.5058,Paper-Title
5,0.938,Paper-Title
6,0.7275,Paper-Title
7,0.68,Paper-Title
8,0.7979,Paper-Title
9,0.5805,Paper-Title
10,0.7432,Paper-Title
11,0.7043,Paper-Title
12,0.5298,Paper-Title
13,0.8786,Paper-Title
14,0.8201,Paper-Title
1,0.7565,Journal-Title
2,0.5252,Journal-Title
3,0.8405,Journal-Title
4,0.4082,Journal-Title
5,0.9141,Journal-Title
6,0.7275,Journal-Title
7,0.6406,Journal-Title
8,0.7787,Journal-Title
9,0.5558,Journal-Title
10,0.6492,Journal-Title
11,0.7192,Journal-Title
12,0.4199,Journal-Title
13,0.8862,Journal-Title
14,0.804,Journal-Title
